,Year,State,Population
7250,2013,INDIANA,"6,000"
7251,2013,IOWA,"39,000"
7252,2013,KANSAS,"6,000"
7253,2013,KENTUCKY,"3,000"
7254,2013,LOUISIANA,"50,000"
7255,2013,MAINE,"7,000"
7256,2013,MICHIGAN,"85,000"
7257,2013,MINNESOTA,"130,000"
7258,2013,MISSISSIPPI,"17,000"
7259,2013,MISSOURI,"10,000"
7260,2013,MONTANA,"159,000"
7261,2013,NEBRASKA,"46,000"
7262,2013,NEW JERSEY,"11,000"
7263,2013,NEW YORK,"55,000"
7264,2013,NORTH CAROLINA,"10,000"
7265,2013,NORTH DAKOTA,"480,000"
7266,2013,OHIO,"17,000"
7267,2013,OREGON,"62,000"
7268,2013,OTHER STATES,"33,000"
7269,2013,PENNSYLVANIA,"13,000"
7270,2013,SOUTH DAKOTA,"265,000"
7271,2013,TENNESSEE,"7,000"
7272,2013,TEXAS,"106,000"
7273,2013,UTAH,"30,000"
7274,2013,VERMONT,"4,000"
7275,2013,VIRGINIA,"5,000"
7276,2013,WASHINGTON,"69,000"
7277,2013,WEST VIRGINIA,"6,000"
7278,2013,WISCONSIN,"59,000"
7279,2013,WYOMING,"47,000"
7280,2012,ALABAMA,"8,000"
7281,2012,ARIZONA,"22,000"
7282,2012,ARKANSAS,"25,000"
7283,2012,CALIFORNIA,"330,000"
7284,2012,COLORADO,"25,000"
7285,2012,FLORIDA,"193,000"
7286,2012,GEORGIA,"59,000"
7287,2012,HAWAII,"10,000"
7288,2012,IDAHO,"92,000"
7289,2012,ILLINOIS,"7,000"
7290,2012,INDIANA,"8,000"
7291,2012,IOWA,"37,000"
7292,2012,KANSAS,"6,000"
7293,2012,KENTUCKY,"5,000"
7294,2012,LOUISIANA,"41,000"
7295,2012,MAINE,"4,000"
7296,2012,MICHIGAN,"73,000"
7297,2012,MINNESOTA,"125,000"
7298,2012,MISSISSIPPI,"18,000"
7299,2012,MISSOURI,"7,000"
7300,2012,MONTANA,"145,000"
7301,2012,NEBRASKA,"43,000"
7302,2012,NEW JERSEY,"14,000"
7303,2012,NEW MEXICO,"5,000"
7304,2012,NEW YORK,"51,000"
7305,2012,NORTH CAROLINA,"13,000"
7306,2012,NORTH DAKOTA,"480,000"
7307,2012,OHIO,"18,000"
7308,2012,OREGON,"60,000"
7309,2012,OTHER STATES,"30,000"
7310,2012,PENNSYLVANIA,"16,000"
7311,2012,SOUTH DAKOTA,"260,000"
7312,2012,TENNESSEE,"6,000"
7313,2012,TEXAS,"92,000"
7314,2012,UTAH,"25,000"
7315,2012,VERMONT,"4,000"
7316,2012,VIRGINIA,"4,000"
7317,2012,WASHINGTON,"62,000"
7318,2012,WEST VIRGINIA,"6,000"
7319,2012,WISCONSIN,"60,000"
7320,2012,WYOMING,"50,000"
7321,2011,ALABAMA,"9,000"
7322,2011,ARIZONA,"23,000"
7323,2011,ARKANSAS,"22,000"
7324,2011,CALIFORNIA,"370,000"
7325,2011,COLORADO,"31,000"
7326,2011,FLORIDA,"180,000"
7327,2011,GEORGIA,"65,000"
7328,2011,HAWAII,"9,000"
7329,2011,IDAHO,"87,000"
7330,2011,ILLINOIS,"7,000"
7331,2011,INDIANA,"8,000"
7332,2011,IOWA,"25,000"
7333,2011,KANSAS,"7,000"
7334,2011,KENTUCKY,"4,000"
7335,2011,LOUISIANA,"36,000"
7336,2011,MAINE,"4,000"
7337,2011,MICHIGAN,"74,000"
7338,2011,MINNESOTA,"120,000"
7339,2011,MISSISSIPPI,"18,000"
7340,2011,MISSOURI,"8,000"
7341,2011,MONTANA,"145,000"
7342,2011,NEBRASKA,"41,000"
7343,2011,NEW JERSEY,"11,000"
7344,2011,NEW MEXICO,"7,000"
7345,2011,NEW YORK,"49,000"
7346,2011,NORTH CAROLINA,"14,000"
7347,2011,NORTH DAKOTA,"460,000"
7348,2011,OHIO,"15,000"
7349,2011,OREGON,"60,000"
7350,2011,OTHER STATES,"25,000"
7351,2011,PENNSYLVANIA,"24,000"
7352,2011,SOUTH DAKOTA,"250,000"
7353,2011,TENNESSEE,"7,000"
7354,2011,TEXAS,"78,000"
7355,2011,UTAH,"23,000"
7356,2011,VERMONT,"4,000"
7357,2011,VIRGINIA,"4,000"
7358,2011,WASHINGTON,"71,000"
7359,2011,WEST VIRGINIA,"4,000"
7360,2011,WISCONSIN,"57,000"
7361,2011,WYOMING,"35,000"
7362,2010,ALABAMA,"9,000"
7363,2010,ARIZONA,"24,000"
7364,2010,ARKANSAS,"25,000"
7365,2010,CALIFORNIA,"410,000"
7366,2010,COLORADO,"34,000"
7367,2010,FLORIDA,"200,000"
7368,2010,GEORGIA,"55,000"
7369,2010,HAWAII,"10,000"
7370,2010,IDAHO,"97,000"
7371,2010,ILLINOIS,"9,000"
7372,2010,INDIANA,"10,000"
7373,2010,IOWA,"27,000"
7374,2010,KANSAS,"9,000"
7375,2010,KENTUCKY,"5,000"
7376,2010,LOUISIANA,"36,000"
7377,2010,MAINE,"5,000"
7378,2010,MICHIGAN,"71,000"
7379,2010,MINNESOTA,"128,000"
7380,2010,MISSISSIPPI,"16,000"
7381,2010,MISSOURI,"11,000"
7382,2010,MONTANA,"157,000"
7383,2010,NEBRASKA,"41,000"
7384,2010,NEW JERSEY,"13,000"
7385,2010,NEW MEXICO,"7,000"
7386,2010,NEW YORK,"45,000"
7387,2010,NORTH CAROLINA,"13,000"
7388,2010,NORTH DAKOTA,"510,000"
7389,2010,OHIO,"18,000"
7390,2010,OREGON,"59,000"
7391,2010,OTHER STATES,"26,000"
7392,2010,PENNSYLVANIA,"30,000"
7393,2010,SOUTH DAKOTA,"265,000"
7394,2010,TENNESSEE,"8,000"
7395,2010,TEXAS,"100,000"
7396,2010,UTAH,"26,000"
7397,2010,VERMONT,"4,000"
7398,2010,VIRGINIA,"5,000"
7399,2010,WASHINGTON,"71,000"
7400,2010,WEST VIRGINIA,"5,000"
7401,2010,WISCONSIN,"64,000"
7402,2010,WYOMING,"34,000"
7403,2009,ALABAMA,"9,000"
7404,2009,ARIZONA,"20,000"
7405,2009,ARKANSAS,"24,000"
7406,2009,CALIFORNIA,"355,000"
7407,2009,COLORADO,"28,000"
7408,2009,FLORIDA,"170,000"
7409,2009,GEORGIA,"65,000"
7410,2009,HAWAII,"10,000"
7411,2009,IDAHO,"103,000"
